détailler/NOM  détailler
Glissez/VER:pres  glisser
appremont/VER:futu  appremont
navets/NOM  navet
boudin/NOM  boudin
Piquez/VER:pres  piquer
caravel/ADJ  caravel
crabe/NOM  crabe
Ecraser/VER:infi  Ecraser
fontaine/NOM  fontaine
enfournez/VER:pres  enfourner
Mayonnaise/NOM  mayonnaise
intérieur/NOM  intérieur
mercredi/NOM  mercredi
chasseur/NOM  chasseur
4.23529411764706/NUM  4.23529411764706
accompagner/VER:infi  accompagner
plusieurs/PRO:IND  plusieurs
Glace/NAM  Glace
parer/VER:infi  parer
unanimité/NOM  unanimité
colorer/VER:infi  colorer
'moutardé/VER:pper  'moutardé
tatin/NOM  tatin
Tajine/VER:subp  Tajine
vient/VER:pres  venir
>/VER:pper  >
160�C).Faites/VER:pres  160�C).Faites
herbes/VER:pres  herber
Photothèque/NOM  Photothèque
cadeaux/NOM  cadeau
Mélanger/VER:infi  Mélanger
champignons/NOM  champignon
touts/NOM  touts
mélange/NOM  mélange
l�ger/ADJ  l�ger
Labaronne/NAM  Labaronne
préférés/ADJ  préférés
Bolognaise/NAM  Bolognaise
liquide/VER:pres  liquider
Grosporc76/NOM  Grosporc76
italie/NOM  italie
stocker/VER:infi  stocker
reblochons/NOM  reblochon
pruneau/NOM  pruneau
hiver/NOM  hiver
metre/ADJ  metre
torchon/NOM  torchon
américaine/NOM  américaine
pointe/NOM  pointe
farcies/ADJ  farci
reggae/ADJ  reggae
agneaux/NOM  agneau
au-dessus/ADV  au-dessus
bleue/ADJ  bleu
bouteille/NOM  bouteille
DE/NAM  DE
Longtemps/ADV  longtemps
Faire/NOM  Faire
l’�bullition/NOM  l’�bullition
viande/NOM  viande
dominique/ADJ  dominique
proposée/ADJ  proposée
or/NOM  or
gardant/VER:ppre  garder
Figues/VER:subp  Figues
connecter/VER:infi  connecter
Espace/ADJ  Espace
Iplv/NAM  Iplv
contacter/VER:infi  contacter
corneed/ADJ  corneed
po�le.Coupez/VER:pres  po�le.Coupez
esoédia/VER:simp  esoédia
picolat/NOM  picolat
remuez/VER:pres  remuer
maladie/NOM  maladie
basique/ADJ  basique
traité/VER:pper  traité
pot/NOM  pot
matmatha/NOM  matmatha
240°C/NOM  240°C
rondelles/NOM  rondelle
étape/NOM  étape
Figue/NAM  Figue
machine/NOM  machine
sucré/salé/NOM  sucré/salé
partenaires/NOM  partenaire
Communauté/NAM  Communauté
évite/VER:subp  évite
ouvrir/VER:infi  ouvrir
Biriyani/NAM  Biriyani
Colombo/NAM  Colombo
donnent/VER:pres  donner
fournissant/VER:ppre  fournir
1h/ADJ  1h
demandé/VER:pper  demandé
cardamome/NOM  cardamome
cultures/NOM  culture
garder/VER:infi  garder
20/NUM  20
raviolis/VER:simp  raviolis
Buche/NAM  Buche
doublé/VER:pper  doublé
voulu/VER:pper  vouloir
Paso/NAM  Paso
conservés/NOM  conservés
attachent/VER:subp  attacher
Bien/NAM  Bien
sautees/NOM  sautees
Avez/VER:pres  avoir
apporte/VER:subp  apporter
grassement/ADV  grassement
meringuee/ADJ  meringuee
courge/NOM  courge
Voir/VER:ppre  Voir
collante/ADJ  collant
Tian/NAM  Tian
émincés.Prenez/VER:pres  émincés.Prenez
aussi/ADV  aussi
adoucira/VER:futu  adoucir
Présentez/VER:impe  Présentez
invités/NOM  invités
soins/NOM  soin
Ingrédients/NAM  Ingrédients
organise/VER:pres  organiser
jetez/VER:pres  jeter
Spaghettis/VER:pper  Spaghettis
c�tes/ADJ  c�tes
tranche/NOM  tranche
totalement/ADV  totalement
Pour/PRP  pour
panees/NOM  panees
entre/PRP  entre
après-midi/NOM  après-midi
Cr&eacute/NAM  Cr&eacute
margarine.Ajoutez/VER:pres  margarine.Ajoutez
concentr�/VER:pper  concentrer
essayer/VER:infi  essayer|essayer
conseils/NOM  conseil
diminué/VER:pper  diminué
carbo/NOM  carbo
mélodique/ADJ  mélodique
Gratin/NAM  Gratin
ouvrant/VER:ppre  ouvrer|ouvrir
gourmet(ette/NOM  gourmet(ette
Baeckeofe/NAM  Baeckeofe
semble/VER:pres  sembler
nappez/VER:pres  napper
75/NUM  75
roul�/ADJ  roul�
Rajoutez/VER:pres  rajouter
CUISINEAZ/NAM  CUISINEAZ
long/ADJ  long
Montez/VER:pres  monter
Postez/VER:pres  poster
crèmes/VER:pres  crèmes
ultra/ADJ  ultra
leur/DET:POS  leur
delicieuse/ADJ  delicieuse
rare/ADJ  rare
press�e/ADJ  press�
Purée/NAM  Purée
Terrine/NOM  terrine
frangipane/NOM  frangipane
indien/ADJ  indien
palmiers/NOM  palmier
moelleuse/ADJ  moelleux
ideale/VER:pres  ideale
aller/VER:infi  aller
Préparez/VER:pres  Préparez
d/VER:subi  d
Convivial/ADJ  convivial
froid/ADJ  froid
Bien/ADV  bien
Dans/VER:futu  Dans
frémissante/ADJ  frémissante
fraîche.Dans/ADJ  fraîche.Dans
Lasagnes/VER:pres  Lasagnes
enfance/NOM  enfance
rougir/VER:infi  rougir
acide/ADJ  acide
